"theater","date","not_guilty","guilty"
"Badisches Staatstheater Karlsruhe",2016-09-29,153,170
"Badisches Staatstheater Karlsruhe",2016-10-02,146,146
"Badisches Staatstheater Karlsruhe",2016-10-05,174,134
"Badisches Staatstheater Karlsruhe",2016-10-16,148,151
"Badisches Staatstheater Karlsruhe",2016-10-28,139,156
"Badisches Staatstheater Karlsruhe",2016-11-04,122,154
"Badisches Staatstheater Karlsruhe",2016-11-12,155,173
"Badisches Staatstheater Karlsruhe",2016-11-18,180,125
"Badisches Staatstheater Karlsruhe",2016-11-19,50,53
"Badisches Staatstheater Karlsruhe",2016-12-01,180,121
"Badisches Staatstheater Karlsruhe",2016-12-08,176,129
"Badisches Staatstheater Karlsruhe",2016-12-23,182,116
"Badisches Staatstheater Karlsruhe",2016-12-30,155,176
"Badisches Staatstheater Karlsruhe",2017-01-07,170,139
"Badisches Staatstheater Karlsruhe",2017-01-15,186,122
"Badisches Staatstheater Karlsruhe",2017-01-18,151,141
"Badisches Staatstheater Karlsruhe",2017-01-26,150,127
"Bremer Kriminaltheater",2016-05-17,47,43
"Bremer Kriminaltheater",2016-05-18,24,36
"Bremer Kriminaltheater",2016-05-19,139,139
"Bremer Kriminaltheater",2016-05-22,66,64
"Bremer Kriminaltheater",2016-06-14,44,27
"Bremer Kriminaltheater",2016-06-15,41,40
"Bremer Kriminaltheater",2016-06-17,73,42
"Bremer Kriminaltheater",2016-06-18,57,50
"Bremer Kriminaltheater",2016-06-19,63,57
"Bremer Kriminaltheater",2016-09-16,39,26
"Bremer Kriminaltheater",2016-09-17,47,48
"Bremer Kriminaltheater",2016-09-18,41,26
"Bremer Kriminaltheater",2016-10-20,20,13
"Bremer Kriminaltheater",2016-10-21,35,29
"Bremer Kriminaltheater",2016-10-23,33,34
"Bremer Kriminaltheater",2016-11-02,30,10
"Bremer Kriminaltheater",2016-11-03,32,16
"Bremer Kriminaltheater",2016-11-05,17,19
"Bremer Kriminaltheater",2016-11-17,25,18
"Bremer Kriminaltheater",2016-12-08,16,33
"Bremer Kriminaltheater",2016-12-09,26,34
"Bremer Kriminaltheater",2016-12-10,21,16
"Bremer Kriminaltheater",2017-01-20,72,28
"Bremer Kriminaltheater",2017-01-21,35,14
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-15,147,61
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-16,107,47
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-17,99,43
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-18,142,70
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-20,101,62
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-21,147,69
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-22,126,65
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-22,171,35
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-23,106,74
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-24,121,106
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-25,133,70
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-27,95,71
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-28,134,81
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-28,180,25
"Contra-Kreis-Theater & Junges Theater Bonn",2016-09-30,116,88
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-01,137,94
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-02,151,84
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-04,123,88
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-05,128,95
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-05,121,38
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-06,170,65
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-07,108,63
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-07,162,30
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-08,138,104
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-09,130,94
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-11,137,116
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-12,150,92
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-13,127,91
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-14,138,97
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-15,138,104
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-16,127,113
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-21,162,74
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-22,131,115
"Contra-Kreis-Theater & Junges Theater Bonn",2016-10-23,121,103
"Deutsches Schauspielhaus, Hamburg",2016-04-07,306,238
"Deutsches Schauspielhaus, Hamburg",2016-04-18,405,374
"Deutsches Schauspielhaus, Hamburg",2016-05-14,404,326
"Deutsches Schauspielhaus, Hamburg",2016-06-29,512,275
"Deutsches Schauspielhaus, Hamburg",2016-07-01,443,251
"Deutsches Schauspielhaus, Hamburg",2016-07-10,482,302
"Deutsches Schauspielhaus, Hamburg",2016-10-22,501,379
"Deutsches Schauspielhaus, Hamburg",2016-10-29,379,361
"Deutsches Schauspielhaus, Hamburg",2016-11-16,534,297
"Deutsches Schauspielhaus, Hamburg",2016-12-14,347,224
"Deutsches Schauspielhaus, Hamburg",2016-12-16,205,109
"Deutsches Schauspielhaus, Hamburg",2017-01-13,480,305
"Deutsches Theater, Berlin",2015-10-03,255,207
"Deutsches Theater, Berlin",2015-10-06,224,214
"Deutsches Theater, Berlin",2015-10-16,243,223
"Deutsches Theater, Berlin",2015-10-22,270,207
"Deutsches Theater, Berlin",2015-11-05,256,209
"Deutsches Theater, Berlin",2015-11-10,233,246
"Deutsches Theater, Berlin",2015-11-25,263,207
"Deutsches Theater, Berlin",2015-12-03,230,238
"Deutsches Theater, Berlin",2015-12-14,238,247
"Deutsches Theater, Berlin",2015-12-28,264,223
"Deutsches Theater, Berlin",2016-01-08,243,229
"Deutsches Theater, Berlin",2016-01-12,264,196
